,Name,Industry
0,BGF리테일,
1,BNK금융지주,
2,CJ,
3,CJ CGV,
4,CJ대한통운,
5,CJ제일제당,
6,DB손해보험,
7,DB하이텍,
8,DL,
9,DL이앤씨,
10,F&F,
11,GKL,
12,GS,
13,GS건설,
14,GS리테일,
15,HDC현대산업개발,
16,HD한국조선해양,
17,HD현대,
18,HD현대인프라코어,
19,HD현대중공업,
20,HL만도,
21,HMM,
22,KB금융,
23,KG스틸,
24,LG,
25,LG디스플레이,
26,LG생활건강,
27,LG에너지솔루션,
28,LG유플러스,
29,LG이노텍,
30,LG전자,
31,LG화학,
32,LIG넥스원,
33,LS,
34,LX인터내셔널,
35,NAVER,
36,NH투자증권,
37,OCI홀딩스,
38,PI첨단소재,
39,POSCO홀딩스,
40,S-Oil,
41,SK,
42,SKC,
43,SK네트웍스,
44,SK디스커버리,
45,SK바이오사이언스,
46,SK스퀘어,
47,SK아이이테크놀로지,
48,SK이노베이션,
49,SK케미칼,
50,SK텔레콤,
51,SK하이닉스,
52,SNT모티브,
53,강원랜드,
54,고려아연,
55,금호석유화학,
56,금호타이어,
57,기아,
58,기업은행,
59,넥센타이어,
60,넷마블,
61,녹십자,
62,녹십자홀딩스,
63,농심,
64,대상,
65,대우건설,
66,대웅,
67,대웅제약,
68,대한유화,
69,대한전선,
70,대한항공,
71,더블유게임즈,
72,동국제강,
73,동서,
74,동원F&B,
75,동원산업,
76,동원시스템즈,
77,두산,
78,두산밥캣,
79,두산에너빌리티,
80,두산퓨얼셀,
81,롯데관광개발,
82,롯데쇼핑,
83,롯데에너지머티리얼즈,
84,롯데정밀화학,
85,롯데지주,
86,롯데칠성음료,
87,롯데케미칼,
88,메리츠금융지주,
89,메리츠증권,
90,메리츠화재,
91,명신산업,
92,미래에셋증권,
93,보령,
94,부광약품,
95,삼성SDI,
96,삼성물산,
97,삼성바이오로직스,
98,삼성생명,
99,삼성에스디에스,
100,삼성엔지니어링,
101,삼성전기,
102,삼성전자,
103,삼성중공업,
104,삼성증권,
105,삼성카드,
106,삼성화재해상보험,
107,삼양홀딩스,
108,세방전지,
109,셀트리온,
110,신세계,
111,신세계인터내셔날,
112,신풍제약,
113,신한지주,
114,쌍용씨앤이,
115,씨에스윈드,
116,아모레퍼시픽,
117,아모레퍼시픽그룹,
118,아시아나항공,
119,아이에스동서,
120,에스디바이오센서,
121,에스엘,
122,에스원,
123,에스케이바이오팜,
124,엔씨소프트,
125,엘에스일렉트릭,
126,영원무역,
127,영진약품,
128,영풍,
129,오뚜기,
130,오리온,
131,오리온홀딩스,
132,우리금융지주,
133,유한양행,
134,이마트,
135,일진하이솔루스,
136,제일기획,
137,종근당,
138,지누스,
139,카카오,
140,카카오뱅크,
141,카카오페이,
142,케이씨씨,
143,케이카,
144,케이티,
145,케이티앤지,
146,코스맥스,
147,코오롱인더,
148,코웨이,
149,쿠쿠홀딩스,
150,쿠쿠홈시스,
151,크래프톤,
152,키움증권,
153,태광산업,
154,티케이지휴켐스,
155,팬오션,
156,포스코인터내셔널,
157,포스코퓨처엠,
158,풍산,
159,하나금융지주,
160,하나투어,
161,하이브,
162,하이트진로,
163,한국가스공사,
164,한국금융지주,
165,한국앤컴퍼니,
166,한국전력공사,
167,한국콜마,
168,한국타이어앤테크놀로지,
169,한국항공우주,
170,한미사이언스,
171,한미약품,
172,한샘,
173,한섬,
174,한세실업,
175,한솔케미칼,
176,한온시스템,
177,한올바이오파마,
178,한일시멘트,
179,한전KPS,
180,한전기술,
181,한진칼,
182,한화,
183,한화생명,
184,한화솔루션,
185,한화시스템,
186,한화에어로스페이스,
187,한화오션,
188,현대건설,
189,현대글로비스,
190,현대로템,
191,현대모비스,
192,현대미포조선,
193,현대백화점,
194,현대엘리베이터,
195,현대위아,
196,현대자동차,
197,현대제철,
198,현대지에프홀딩스,
199,현대해상,
200,현대홈쇼핑,
201,호텔신라,
202,화승엔터프라이즈,
203,효성,
204,효성첨단소재,
205,효성티앤씨,
206,후성,
207,휠라홀딩스,
