,Company_name,Company_industry,Eval_year,Overall_score,E_score,S_score,G_score
0,BGF리테일,,2021,S,,,
1,BGF리테일,,2022,A,B+,A,B+
2,BNK금융지주,,2021,A,,,
3,BNK금융지주,,2022,A,B,B+,A+
4,CJ,,2021,A,,,
5,CJ,,2022,A,B+,A,B+
6,CJ CGV,,2021,B+,B+,B+,A
7,CJ대한통운,,2021,A,,,
8,CJ대한통운,,2022,B+,B+,A,B+
9,CJ제일제당,,2021,S,,,
10,CJ제일제당,,2022,S,A+,A+,A
11,DB손해보험,,2021,A,,,
12,DB손해보험,,2022,B+,B+,B+,B+
13,DB하이텍,,2021,A,,,
14,DB하이텍,,2022,A,B+,A+,A
15,DL,,2021,B+,,,
16,DL,,2022,B+,B,B+,B+
17,DL이앤씨,,2021,B+,,,
18,DL이앤씨,,2022,A,A,A+,B+
19,F&F,,2022,B,B,B,B
20,GKL,,2021,A+,,,
21,GKL,,2022,B+,B,B+,B+
22,GS,,2021,B,,,
23,GS,,2022,B+,B,B,B+
24,GS건설,,2021,B+,,,
25,GS건설,,2022,A,A,A,B+
26,GS리테일,,2021,A,,,
27,GS리테일,,2022,A,B+,A+,A
28,HDC현대산업개발,,2021,B,,,
29,HDC현대산업개발,,2022,B,B,B+,B
30,HD한국조선해양,,2021,A,,,
31,HD한국조선해양,,2022,B+,B+,B+,B+
32,HD현대,,2021,A,,,
33,HD현대,,2022,B+,C,B+,A
34,HD현대인프라코어,,2021,A+,,,
35,HD현대인프라코어,,2022,A,A,A,B+
36,HD현대중공업,,2021,B,,,
37,HD현대중공업,,2022,A,A,B+,B+
38,HL만도,,2021,A+,,,
39,HL만도,,2022,A,A,A+,B
40,HMM,,2021,A,,,
41,HMM,,2022,A,A,A,B+
42,KB금융,,2021,A,,,
43,KB금융,,2022,A,B+,B+,A+
44,KG스틸,,2021,A,,,
45,KG스틸,,2022,A,B+,A,B+
46,LG,,2021,B+,,,
47,LG,,2022,A,B+,A,B+
48,LG디스플레이,,2021,A+,,,
49,LG디스플레이,,2022,A+,A,A+,B+
50,LG생활건강,,2021,A,,,
51,LG생활건강,,2022,A,A+,A,B+
52,LG에너지솔루션,,2022,A+,A,A+,B+
53,LG유플러스,,2021,B+,,,
54,LG유플러스,,2022,A,A,A,A
55,LG이노텍,,2021,A,,,
56,LG이노텍,,2022,S,A,A+,A
57,LG전자,,2021,A+,,,
58,LG전자,,2022,A+,A+,A+,B+
59,LG화학,,2021,B+,,,
60,LG화학,,2022,A,A,A,B+
61,LIG넥스원,,2021,S,,,
62,LIG넥스원,,2022,A,B+,A,A+
63,LS,,2021,B+,,,
64,LS,,2022,B+,B+,B+,B
65,LX인터내셔널,,2021,B+,,,
66,LX인터내셔널,,2022,B+,B,A,B
67,NAVER,,2021,A,,,
68,NAVER,,2022,A,B+,A,A+
69,NH투자증권,,2021,B+,,,
70,NH투자증권,,2022,A,B,B+,A+
71,OCI홀딩스,,2021,A+,,,
72,OCI홀딩스,,2022,A,B+,A,B+
73,PI첨단소재,,2021,A,,,
74,PI첨단소재,,2022,B+,B+,B,B+
75,POSCO홀딩스,,2021,A,,,
76,POSCO홀딩스,,2022,A,A,A,B+
77,S-Oil,,2021,A+,,,
78,S-Oil,,2022,A+,A,A,A
79,SK,,2021,A+,,,
80,SK,,2022,A,B+,A,S
81,SKC,,2021,A+,,,
82,SKC,,2022,A,A,A+,B+
83,SK네트웍스,,2021,A,,,
84,SK네트웍스,,2022,A+,B+,S,A
85,SK디스커버리,,2021,A+,B+,A,A+
86,SK바이오사이언스,,2021,B+,,,
87,SK바이오사이언스,,2022,A,B+,A,A
88,SK스퀘어,,2022,A,B,B+,A
89,SK아이이테크놀로지,,2022,A,B+,A,A
90,SK이노베이션,,2021,B+,,,
91,SK이노베이션,,2022,A,A,A,A
92,SK케미칼,,2021,A+,,,
93,SK케미칼,,2022,S,A+,A,A
94,SK텔레콤,,2021,A+,,,
95,SK텔레콤,,2022,A+,A,A,A+
96,SK하이닉스,,2021,A+,,,
97,SK하이닉스,,2022,A+,A,A,A
98,SNT모티브,,2021,B+,A,B+,B
99,강원랜드,,2021,A,,,
100,강원랜드,,2022,A+,B+,A+,B+
101,고려아연,,2021,A,,,
102,고려아연,,2022,A+,A,A,B+
103,금호석유화학,,2021,A,,,
104,금호석유화학,,2022,A+,A,A+,A
105,금호타이어,,2021,B+,,,
106,금호타이어,,2022,A,A,A,B
107,기아,,2021,A+,,,
108,기아,,2022,A+,A,A+,A
109,기업은행,,2021,B+,,,
110,기업은행,,2022,A,A,A,B+
111,넥센타이어,,2021,A+,A,A+,A
112,넷마블,,2021,B+,,,
113,넷마블,,2022,B+,C,B,B+
114,녹십자,,2021,B+,,,
115,녹십자,,2022,B+,B,B+,B+
116,녹십자홀딩스,,2021,B+,,,
117,녹십자홀딩스,,2022,B+,B,B+,B+
118,농심,,2021,A,,,
119,농심,,2022,A,B+,A,B
120,대상,,2021,B+,,,
121,대상,,2022,A,A,S,B
122,대우건설,,2021,B+,,,
123,대우건설,,2022,B,B+,B+,B+
124,대웅,,2021,B+,,,
125,대웅,,2022,B+,B+,B+,B
126,대웅제약,,2021,B,,,
127,대웅제약,,2022,B+,B+,B+,B
128,대한유화,,2021,B+,,,
129,대한유화,,2022,A,A,A,B
130,대한전선,,2021,A,,,
131,대한전선,,2022,A,A,B+,B+
132,대한항공,,2021,A,,,
133,대한항공,,2022,A,B+,A,B+
134,더블유게임즈,,2021,B+,,,
135,더블유게임즈,,2022,B,D,D,B+
136,동국제강,,2021,A,,,
137,동국제강,,2022,A,A,A,B
138,동서,,2021,B,,,
139,동서,,2022,C,C,B,B
140,동원F&B,,2021,B+,B+,B+,B+
141,동원산업,,2021,B,,,
142,동원산업,,2022,B+,B+,A,B
143,동원시스템즈,,2021,A,,,
144,동원시스템즈,,2022,A,A,A,B
145,두산,,2021,A,,,
146,두산,,2022,A,B+,A,B+
147,두산밥캣,,2021,A,,,
148,두산밥캣,,2022,B+,B,A,B+
149,두산에너빌리티,,2021,A,,,
150,두산에너빌리티,,2022,A,A,A,B+
151,두산퓨얼셀,,2021,B+,,,
152,두산퓨얼셀,,2022,A,B+,A,B+
153,롯데관광개발,,2021,B,,,
154,롯데관광개발,,2022,B,B,B,B
155,롯데쇼핑,,2021,B+,,,
156,롯데쇼핑,,2022,A,A,A,A
157,롯데에너지머티리얼즈,,2021,B,,,
158,롯데에너지머티리얼즈,,2022,B,B,B,B
159,롯데정밀화학,,2021,A+,,,
160,롯데정밀화학,,2022,A+,A,A+,A
161,롯데지주,,2021,A,,,
162,롯데지주,,2022,A,B+,B+,A
163,롯데칠성음료,,2021,A,,,
164,롯데칠성음료,,2022,A,A,A,A
165,롯데케미칼,,2021,A,,,
166,롯데케미칼,,2022,A+,A+,A,B+
167,메리츠금융지주,,2021,B+,,,
168,메리츠금융지주,,2022,B+,C,B+,B+
169,메리츠증권,,2021,A,,,
170,메리츠증권,,2022,B+,B,A,B+
171,메리츠화재,,2022,B+,C,B+,A
172,명신산업,,2022,C,C,B,C
173,미래에셋증권,,2021,A,,,
174,미래에셋증권,,2022,A,B,A,A
175,보령,,2021,B+,,,
176,보령,,2022,A,A,A,B+
177,부광약품,,2021,B,B+,B,B+
178,삼성SDI,,2021,A+,,,
179,삼성SDI,,2022,A+,A+,A,B+
180,삼성물산,,2021,A,,,
181,삼성물산,,2022,A+,A,A+,B+
182,삼성바이오로직스,,2021,B+,,,
183,삼성바이오로직스,,2022,A,A,A,B+
184,삼성생명,,2021,B+,,,
185,삼성생명,,2022,A,A,A,B+
186,삼성에스디에스,,2021,A+,,,
187,삼성에스디에스,,2022,A,B+,A+,B+
188,삼성엔지니어링,,2021,A+,,,
189,삼성엔지니어링,,2022,A,A,A,A
190,삼성전기,,2021,S,,,
191,삼성전기,,2022,S,A,S,A
192,삼성전자,,2021,A,,,
193,삼성전자,,2022,S,A+,A+,A
194,삼성중공업,,2021,A,,,
195,삼성중공업,,2022,A,A,B+,B+
196,삼성증권,,2021,A,,,
197,삼성증권,,2022,A,B+,A,A
198,삼성카드,,2021,A,,,
199,삼성카드,,2022,A,B+,A,B+
200,삼성화재해상보험,,2021,A,,,
201,삼성화재해상보험,,2022,B+,B,B+,B+
202,삼양홀딩스,,2021,A,,,
203,삼양홀딩스,,2022,B+,C,B+,A
204,세방전지,,2021,A,,,
205,세방전지,,2022,B+,B+,B+,B+
206,셀트리온,,2021,B+,,,
207,셀트리온,,2022,B+,B,B,B+
208,신세계,,2021,A,,,
209,신세계,,2022,A,A,A,A
210,신세계인터내셔날,,2021,B+,,,
211,신세계인터내셔날,,2022,B+,B,B+,A+
212,신풍제약,,2021,B,,,
213,신풍제약,,2022,B,C,B+,B+
214,신한지주,,2021,A,,,
