,Year,Company,Download_link
0,2022,BNK금융지주,https://kind.krx.co.kr/external/2022/08/02/000323/20220802000253/BNK%EA%B8%88%EC%9C%B5%EA%B7%B8%EB%A3%B9%20%EC%A7%80%EC%86%8D%EA%B0%80%EB%8A%A5%EA%B2%BD%EC%98%81%EB%B3%B4%EA%B3%A0%EC%84%9C%202021%28%EA%B5%AD%EB%AC%B8%29.pdf
1,2022,DB하이텍,https://kind.krx.co.kr/external/2022/08/05/000178/20220805000093/2021-2022%20DB%ED%95%98%EC%9D%B4%ED%85%8D%20ESG%EA%B2%BD%EC%98%81%EB%B3%B4%EA%B3%A0%EC%84%9C.pdf
2,2022,DL이앤씨,https://kind.krx.co.kr/external/2022/07/20/000456/20220720001034/2022%20DL%EC%9D%B4%EC%95%A4%EC%94%A8%20%EC%A7%80%EC%86%8D%EA%B0%80%EB%8A%A5%EA%B2%BD%EC%98%81%EB%B3%B4%EA%B3%A0%EC%84%9C_vf.pdf
3,2022,GS리테일,https://kind.krx.co.kr/external/2022/07/04/000597/20220704000832/2021%20GS%EB%A6%AC%ED%85%8C%EC%9D%BC%20%EC%A7%80%EC%86%8D%EA%B0%80%EB%8A%A5%EA%B2%BD%EC%98%81%EB%B3%B4%EA%B3%A0%EC%84%9C.pdf
4,2022,HDC현대산업개발,https://kind.krx.co.kr/external/2022/11/30/000071/20221125001444/%5BHDC%ED%98%84%EB%8C%80%EC%82%B0%EC%97%85%EA%B0%9C%EB%B0%9C%5D%20%EC%A7%80%EC%86%8D%EA%B0%80%EB%8A%A5%EA%B2%BD%EC%98%81%EB%B3%B4%EA%B3%A0%EC%84%9C%202022.pdf
5,2022,HD한국조선해양,https://kind.krx.co.kr/external/2022/07/22/000098/20220722000197/2021%20%ED%95%9C%EA%B5%AD%EC%A1%B0%EC%84%A0%ED%95%B4%EC%96%91%20%ED%86%B5%ED%95%A9%EB%B3%B4%EA%B3%A0%EC%84%9C-2022%EB%85%84%20%EB%B0%9C%EA%B0%84.pdf
6,2022,HD현대인프라코어,https://kind.krx.co.kr/external/2022/06/24/000246/20220624000090/2021%20%ED%98%84%EB%8C%80%EB%91%90%EC%82%B0%EC%9D%B8%ED%94%84%EB%9D%BC%EC%BD%94%EC%96%B4%20%ED%86%B5%ED%95%A9%EB%B3%B4%EA%B3%A0%EC%84%9C%28KOR%29.pdf
7,2022,HD현대중공업,https://kind.krx.co.kr/external/2022/07/22/000106/20220721000372/2021%20%ED%86%B5%ED%95%A9%EB%B3%B4%EA%B3%A0%EC%84%9C-2022%EB%85%84%20%EB%B0%9C%EA%B0%84.pdf
8,2022,HL만도,https://kind.krx.co.kr/external/2022/06/23/000141/20220623000042/2021%20%EB%A7%8C%EB%8F%84%20%EC%A7%80%EC%86%8D%EA%B0%80%EB%8A%A5%EA%B2%BD%EC%98%81%EB%B3%B4%EA%B3%A0%EC%84%9C.pdf
9,2023,LG,https://kind.krx.co.kr/external/2023/02/02/000072/20230201001216/LG%20Net%20Zero%20Special%20Reporting%202022_KR.pdf
